Название,Рейтинг,Прогноз,Дата выставления рейтинга,ИНН,Регион,Отрасль
"АО БАНК ""РАЗВИТИЕ-СТОЛИЦА""",отозван,—,28.10.2022,7709345294,Москва,банки
"ООО ""СМАРТФАКТ""",ruBB-,Стабильный,28.10.2022,7707837251,--,--
"АО ""БМ-БАНК""",ruA-,Стабильный,28.10.2022,7702000406,--,банки
Облигации ТАЛАН-ФИНАНС серии 001P-02,ruBB+,—,27.10.2022,--,--,--
Облигации ТАЛАН-ФИНАНС серии 001P-03,ruBB+,—,27.10.2022,--,--,--
Облигации ИКС 5 ФИНАНС серии БО-06,отозван,—,27.10.2022,--,--,--
"АО ""ГК ""ЕКС""",ruBBB,Стабильный,27.10.2022,5012000639,--,--
"ООО ЛК ""СЕСПЕЛЬ-ФИНАНС""",ruB,Стабильный,27.10.2022,2130144159,--,--
Облигации Республика Башкортостан серии 34011,ruAA+,—,27.10.2022,--,Республика Башкортостан,--
Облигации Республика Башкортостан серии 34012,ruAA+,—,27.10.2022,--,Республика Башкортостан,--
Республика Башкортостан,ruAA+,Стабильный,27.10.2022,--,--,--
"ООО ""СК ""ТИТ""",ruBBB-,Стабильный,27.10.2022,7714819895,Москва,страхование
"ООО ""СОЗИДАНИЕ""",ruBB+,Стабильный,26.10.2022,1841070689,--,--
Облигации КАМАЗ серии БО-П09,GBP,—,26.10.2022,--,--,--
"АО ""ИНК-КАПИТАЛ""",ruA+,Стабильный,26.10.2022,3808175078,--,--
Облигации Сегежа Групп серии 001P-01R,ruA+,—,25.10.2022,--,--,--
Облигации Сегежа Групп серии 002P-03R,ruA+,—,25.10.2022,--,--,--
Облигации Сегежа Групп серии 002P-04R,ruA+,—,25.10.2022,--,--,--
Облигации Сегежа Групп серии 002P-07R,ruA+,—,25.10.2022,--,--,--
"АО ""БСК""",ruA+,Развивающийся,25.10.2022,0268008010,Республика Башкортостан,химическая и нефтехимическая промышленность
Облигации Сегежа Групп серии 002P-01R,ruA+,—,25.10.2022,--,--,--
Облигации Сегежа Групп серии 002P-02R,ruA+,—,25.10.2022,--,--,--
Облигации Сегежа Групп серии 002P-05R,ruA+,—,25.10.2022,--,--,--
Облигации Сегежа Групп серии 002P-06R,ruA+,—,25.10.2022,--,--,--
ООО СК «БКС СТРАХОВАНИЕ ЖИЗНИ»,ruA-,Стабильный,24.10.2022,7702427967,--,--
Облигации Нижегородская область серии 34012,отозван,—,24.10.2022,--,Нижегородская область,--
"АО ""АВТОДОМ""",ruBBB+,Стабильный,21.10.2022,7714709349,--,--
Облигации Роснефть серии 001P-08,ruAAA,—,21.10.2022,--,--,--
Облигации Роснефть серии 002P-09,ruAAA,—,21.10.2022,--,--,--
ООО «Евроторг»,byAAA,Стабильный,21.10.2022,--,--,--
Облигации Ритейл Бел Финанс серии 01,ruBBB,—,21.10.2022,--,--,--
Облигации Ритейл Бел Финанс серии 001Р-01,ruBBB,—,21.10.2022,--,--,--
Облигации Ритейл Бел Финанс серии 001Р-02,ruBBB,—,21.10.2022,--,--,--
Облигации ЭР-Телеком Холдинг серии ПБО-04,отозван,—,21.10.2022,--,--,--
"АО ""ВОЛГА""",ruA-,Стабильный,21.10.2022,5244009279,Нижегородская область,"лесная, деревообрабатывающая и целлюлозно-бумажная промышленность"
ПАО «СЕГЕЖА ГРУПП»,ruA+,Негативный,21.10.2022,9703024202,--,--
Облигации Финконсалт серии БО-П02,отозван,—,20.10.2022,--,--,--
ICT Holding ltd,отозван,—,20.10.2022,--,--,многоотраслевые холдинги
"ООО ""СК ""РЕНЕССАНС ЖИЗНЬ""",ruAA-,Стабильный,20.10.2022,7725520440,Москва,страхование
"ООО ""УК ""АГАНА""",A,Стабильный,20.10.2022,7706219982,Москва,управляющая компания
Облигации Совкомфлот серии ЗО-2028,ruAAA,—,20.10.2022,--,--,--
"ПАО ""СОВКОМФЛОТ""",ruAAA,Стабильный,20.10.2022,7702060116,Москва,транспорт
Облигации Хэдхантер серии 001Р-01R,ruAA,—,20.10.2022,--,--,--
"ООО ""ХЭДХАНТЕР""",ruAA,Стабильный,20.10.2022,7718620740,--,--
HeadHunter Group PLC,отозван,—,20.10.2022,--,--,--
Тульская область,ruA+,Стабильный,20.10.2022,--,--,--
"ООО ""ХАЙТЭК""",отозван,—,19.10.2022,7722826409,--,--
"АО ""БАНК БЖФ""",ruB+,Стабильный,18.10.2022,7709056550,Москва,банки
"АКБ ""АЛМАЗЭРГИЭНБАНК"" АО",ruBB+,Стабильный,18.10.2022,1435138944,Республика Саха (Якутия),банки
"АО ЛК ""РОДЕЛЕН""",ruBBB,Стабильный,18.10.2022,7813379412,Санкт-Петербург,лизинг
"АО ""РАССВЕТ""",ruA-,Стабильный,18.10.2022,2356045713,Краснодарский край,--
"ООО "" АГРОКУБАНЬ РЕСУРС """,ruA-,Стабильный,18.10.2022,2356040994,--,--
АО «СИЛОВЫЕ МАШИНЫ»,ruAA-,Стабильный,18.10.2022,7702080289,Санкт-Петербург,машиностроение
"ООО ""СК ""СОГЛАСИЕ""",ruA+,Позитивный,17.10.2022,7706196090,Москва,страхование
Облигации СЕЛИГДАР 001P-01,ruA+(EXP),—,17.10.2022,--,--,--
Облигации Роснефть серии 04,отозван,—,17.10.2022,--,--,--
Облигации Роснефть серии 05,отозван,—,17.10.2022,--,--,--
Облигации МТС серии 001P-08,отозван,—,17.10.2022,--,--,--
"ПАО ""НБД-БАНК""",ruBBB+,Стабильный,17.10.2022,5200000222,Нижегородская область,банки
"ООО ""СТРАХОВАЯ КОМПАНИЯ ""КРЕДИТ ЕВРОПА ЛАЙФ""",отозван,—,17.10.2022,7705784734,Москва,страхование
"АО ""БАНК ОРЕНБУРГ""",ruBB+,Стабильный,17.10.2022,5612031491,Оренбургская область,банки
"ООО ""НОВЫЕ ТЕХНОЛОГИИ""",ruBBB+,Стабильный,14.10.2022,1652009537,--,--
"ООО ""АПХ ""МИРАТОРГ""",ruA-,Стабильный,14.10.2022,7704669440,--,--
"ООО ""НСХ""",ruA,Стабильный,14.10.2022,5902193222,--,--
"ООО МФК ""МАНИ МЕН""",ruBBB-,Стабильный,13.10.2022,7704784072,Москва,финансовый сектор
ООО «СОВКОМБАНК СТРАХОВАНИЕ ЖИЗНИ»,ruAA,Стабильный,13.10.2022,7702639270,Москва,страхование
"ООО ""АЙДИ КОЛЛЕКТ""",ruBB,Стабильный,12.10.2022,7730233723,--,--
"АО ""СК ""ПАРИ""",ruA,Стабильный,12.10.2022,7704041020,Москва,страхование
"ПАО ""ЧЕЛИНДБАНК""",ruA,Стабильный,12.10.2022,7453002182,Челябинская область,банки
Облигации Сегежа Групп серии 002P-07R,ruA+,—,12.10.2022,--,--,--
Облигации Краснодарский край серии 35003,ruAA+,—,12.10.2022,--,Краснодарский край,--
Облигации Краснодарский край серии 35001,ruAA+,—,12.10.2022,--,Краснодарский край,--
Облигации Краснодарский край серии 35002,ruAA+,—,12.10.2022,--,Краснодарский край,--
Краснодарский край,ruAA+,Стабильный,12.10.2022,--,--,--
"ООО КБ ""АЛТАЙКАПИТАЛБАНК""",ruBB-,Стабильный,12.10.2022,2225019491,Алтайский край,банки
